FeedId,FeedMessage,LinkName,FeedType,FeedLink,PublishedDate,LikesCount,CommentsCount,SharesCount
265769886798719_1168328866542812,Participe del sondeo en esta nota:,"Arias anunciará decisión electoral pronto, dicen allegados | Crhoy.com",link      ,http://www.crhoy.com/arias-anunciara-decision-electoral-pronto-dicen-allegados/nacionales/,3/5/2016 10:39,747,556,75
265769886798719_1168300869878945,Un rato de entretenimiento,Tiene 5 segundos para encontrar el error | Crhoy.com,link      ,http://www.crhoy.com/tiene-5-segundos-para-encontrar-el-error/entretenimiento/,3/5/2016 10:13,832,222,167
265769886798719_1168296489879383,#GiveElsaAGirlfriend es el hashtag con el que varias activistas piden que Elsa tenga novia,"Campaña pide que Elsa, de Frozen, tenga novia | Crhoy.com",link      ,http://www.crhoy.com/campana-pide-que-elsa-de-frozen-tenga-novia/entretenimiento/,3/5/2016 9:38,541,496,132
265769886798719_1168273393215026,Los colores metálicos y lo brillante predominaron en una de las galas más importantes de Nueva York,La moda metálica de los artistas en la gala de Nueva York | Crhoy.com,link      ,http://www.crhoy.com/la-moda-metalica-de-los-artistas-en-la-gala-de-nueva-york/entretenimiento/,3/5/2016 8:57,60,4,1
265769886798719_1168271083215257,La actividad ha ido incrementando,"Turrialba, el volcán con un despertar ‘muy lento’ | Crhoy.com",link      ,http://www.crhoy.com/turrialba-el-volcan-con-un-despertar-muy-lento/nacionales/,3/5/2016 8:51,194,2,9
265769886798719_1168264279882604,,Timeline Photos,photo     ,https://www.facebook.com/crhoy.comnoticias/photos/a.305593816149659.68084.265769886798719/1168264279882604/?type=3,3/5/2016 8:37,249,21,125
265769886798719_1168235589885473,"Nuestra mentalidad es ganadora y no podemos cambiar eso, dijo el tico","Keylor Navas: “No tengo miedo, tengo respeto hacia el rival | Crhoy.com",link      ,http://www.crhoy.com/keylor-navas-no-tengo-miedo-tengo-respeto-hacia-el-rival/deportes/,3/5/2016 8:02,2947,24,41
265769886798719_1168218336553865,El Presidente afirma que la estabilidad financiera no se alcanzará solo con recortes al gasto,Solís sube presión a diputados por impuestos | Crhoy.com,link      ,http://www.crhoy.com/solis-sube-presion-a-diputados-por-impuestos/nacionales/,3/5/2016 7:31,40,62,9
265769886798719_1167992273243138,Tome nota si transita por la zona,Cierres parciales por rotonda de Paso Ancho a partir de mañana | Crhoy.com,link      ,http://www.crhoy.com/cierres-parciales-por-rotonda-de-paso-ancho-a-partir-de-mana/nacionales/,2/5/2016 22:23,134,51,86
265769886798719_1167982323244133,(Video) Parece que el mensaje de Álvarez Desanti les causó mucho sueño,Diputados se quedaron dormidos durante el discurso de esta tarde | Crhoy.com,link      ,http://www.crhoy.com/diputados-se-quedaron-dormidos-durante-el-discurso-de-esta-tarde/nacionales/,2/5/2016 21:47,250,136,72
265769886798719_1167963093246056,Diputados molestos por insistencia del mandatario en pedir más impuestos,Oposición critica duramente a Presidente tras rendición de cuentas | Crhoy.com,link      ,http://www.crhoy.com/oposicion-critica-duramente-a-presidente-tras-rendicion-de-cuentas/nacionales/,2/5/2016 20:59,160,92,27
265769886798719_1167950726580626,La demanda es por $5 millones,Demanda a cafetería porque su café estaba muy frío | Crhoy.com,link      ,http://www.crhoy.com/demanda-a-cafeteria-porque-su-cafe-estaba-muy-frio/mundo/,2/5/2016 20:30,209,50,18
265769886798719_1167934686582230,Las multas son de más de 50 mil colones,Carros chocados no pueden circular aunque funcionen | Crhoy.com,link      ,http://www.crhoy.com/carros-chocados-no-pueden-circular-aunque-funcionen/nacionales/,2/5/2016 19:56,1951,237,1352
265769886798719_1167923936583305,Es una de las famosas más bellas de la actualidad,Ninel Conde revela 6 tips para lucir un cuerpazo | Crhoy.com,link      ,http://www.crhoy.com/ninel-conde-revela-6-tips-para-lucir-un-cuerpazo/entretenimiento/,2/5/2016 19:30,143,59,3
265769886798719_1167912463251119,Análisis tras rendición de cuentas del Presidente de la República,El cambio que ofreció el Gobierno sigue en deuda | Crhoy.com,link      ,http://www.crhoy.com/el-cambio-que-ofrecio-el-gobierno-sigue-en-deuda/nacionales/,2/5/2016 19:01,103,54,19
265769886798719_1167902579918774,La clave para el juego de vuelta es no confiarse,Javier Delgado: “Somos favoritos para ir a la final” | Crhoy.com,link      ,http://www.crhoy.com/javier-delgado-somos-favoritos-para-ir-a-la-final/deportes/,2/5/2016 18:36,250,43,8
265769886798719_1167887889920243,Se llama Huff y su anterior dueño lo tenía abandonado,“Erizo vampiro” es la nueva sensación en redes | Crhoy.com,link      ,http://www.crhoy.com/erizo-vampiro-es-la-nueva-sensacion-en-redes/entretenimiento/,2/5/2016 18:00,984,82,60
265769886798719_1167876776588021,"Su caricatura es la imagen de una exposición en homenaje al comediante Roberto Gómez Bolaños, “Chespirito”",Obra de caricaturista de crhoy.com destaca en exposición en México | Crhoy.com,link      ,http://www.crhoy.com/obra-de-caricaturista-de-crhoy-com-destaca-en-exposicion-en-mexico/entretenimiento/cultura/,2/5/2016 17:32,845,26,11
265769886798719_1167863126589386,Jerarca morado afirmó que tampoco le reducirán el salario y le brindan asesoría legal,Juan Carlos Rojas: “A Guzmán no lo estamos separando del equipo” | Crhoy.com,link      ,http://www.crhoy.com/juan-carlos-rojas-a-guzman-no-lo-estamos-separando-del-equipo/deportes/,2/5/2016 17:03,596,133,7
265769886798719_1167850453257320,Se coronan tras el empate del Tottenham,¡Leicester campeón de la Premier League! | Crhoy.com,link      ,http://www.crhoy.com/leicester-campeon-de-la-premier-league/deportes/,2/5/2016 16:41,432,8,12
265769886798719_1167830989925933,Aquí encontrará el texto completo del discurso del Presidente,Solís presume sus logros y advierte de “caos fiscal” | Crhoy.com,link      ,http://www.crhoy.com/solis-presume-sus-logros-y-advierte-de-caos-fiscal/nacionales/,2/5/2016 16:21,104,195,45
265769886798719_1167829736592725,Discurso informe de labores,,video     ,https://www.facebook.com/crhoy.comnoticias/videos/1167829736592725/,2/5/2016 16:20,268,346,43
265769886798719_1167825469926485,(Video) Se necesitaron más de media docena de policías para detener a un ex campeón olímpico,"7 contra 1, más gas pimienta… ¡y casi pierden! | Crhoy.com",link      ,http://www.crhoy.com/7-contra-1-mas-gas-pimienta-y-casi-pierden/entretenimiento/,2/5/2016 16:06,266,34,43
265769886798719_1167813403261025,VIDEO: El Real Madrid ocupa una victoria el próximo miércoles y Keylor planea dejar su marco en cero,Navas: “nos vamos a dejar la vida en la cancha” | Crhoy.com,link      ,http://www.crhoy.com/navas-nos-vamos-a-dejar-la-vida-en-la-cancha/deportes/,2/5/2016 15:38,1190,13,5
265769886798719_1167789839930048,¿Ya votó? Participe  del sondeo que se incluye en esta nota:,"“El Gobierno no tiene liderazgo ni rumbo”, indica analista | Crhoy.com",link      ,http://www.crhoy.com/el-gobierno-no-tiene-liderazgo-ni-rumbo-indica-analista/nacionales/,2/5/2016 15:04,58,22,14
265769886798719_1167788169930215,"Expertos señalan que hay magma cerca del cráter, pero no pueden asegurar si será expulsado o no",El Turrialba registra hasta 5 erupciones por hora | Crhoy.com,link      ,http://www.crhoy.com/el-turrialba-registra-hasta-5-erupciones-por-hora/nacionales/,2/5/2016 14:46,970,31,256
265769886798719_1167787286596970,,Timeline Photos,photo     ,https://www.facebook.com/crhoy.comnoticias/photos/a.305593816149659.68084.265769886798719/1167787286596970/?type=3,2/5/2016 14:44,689,26,127
265769886798719_1167765216599177,"Conferencia CNE, sobre situación del  volcán Turrialba",,video     ,https://www.facebook.com/crhoy.comnoticias/videos/1167765216599177/,2/5/2016 14:17,308,139,77
265769886798719_1167761583266207,"De acuerdo con el expediente penal, Salmerón agredió a Jéssica Durán durante su periodo de embarazo",Sospechoso de crimen en Matapalo perpetró agresiones previas | Crhoy.com,link      ,http://www.crhoy.com/sospechoso-de-crimen-en-matapalo-perpetro-agresiones-previas/nacionales/,2/5/2016 14:08,95,19,5
265769886798719_1167750823267283,¿Salió del cole con buenas notas? Esto le puede interesar,En esta universidad dan becas de 50% si es buen estudiante | Crhoy.com,link      ,http://www.crhoy.com/en-esta-universidad-dan-becas-de-50-si-es-buen-estudiante/nacionales/,2/5/2016 13:44,314,35,145
265769886798719_1167744813267884,"“Vemos la elección de don Antonio y de este Directorio como una declaratoria de guerra al empleo público"", aseguran",Sindicatos: elección del Directorio es “declaratoria de guerra” | Crhoy.com,link      ,http://www.crhoy.com/sindicatos-eleccion-del-directorio-es-declaratoria-de-guerra/nacionales/,2/5/2016 13:33,211,89,51
